est1 est2 est3 est4 est5 est6 est7 est8 est9 est10 est11 est12 est13 est14 est15 est16 est17 est18 est19 est20 est21 est22 est23 est24 est25 est26 est27 est28 est29
39.60	59.80	11.00	23.00	15.00	0.90	19.40	23.60	67.40	30.30	6.00	0.00	2.20	2.80	8.50	62.20	62.10	41.00	6.00	9.60	60.10	0.00	17.00	25.20	6.30	1.00	62.40	63.20	46.20
65.80	34.60	12.00	9.60	7.80	103.00	0.00	17.40	29.40	50.40	81.00	35.70	71.20	15.00	27.80	10.80	11.10	17.60	1.60	28.60	0.00	8.20	0.60	3.20	5.10	0.00	47.80	44.40	8.10
0.00	22.80	3.20	9.00	0.30	0.00	81.40	0.00	0.00	1.60	0.00	0.00	2.80	18.40	0.80	12.20	0.00	0.00	3.20	2.60	0.00	0.00	0.60	13.20	0.00	6.90	0.50	2.00	15.20
10.20	2.60	0.00	0.00	0.10	0.00	0.00	3.00	14.40	0.00	0.00	0.00	0.00	6.80	0.00	23.80	1.70	8.10	2.40	24.20	0.00	12.40	0.00	6.20	1.40	0.00	0.00	9.40	0.00
0.00	2.60	0.00	0.40	0.10	0.00	3.40	16.80	32.90	0.00	0.00	0.00	13.20	6.40	21.40	2.40	0.00	0.00	0.00	0.00	24.40	8.40	2.40	4.30	1.50	9.20	6.30	0.00	0.00
0.00	31.40	65.00	16.00	28.80	36.00	25.20	11.60	11.60	40.80	18.40	12.20	22.20	6.00	0.00	0.00	0.00	0.00	0.00	15.00	29.20	26.20	21.40	10.10	0.10	0.30	9.70	6.00	4.30
54.20	0.00	11.60	0.00	0.40	0.00	0.00	1.30	2.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.20	0.00	22.20	0.10	0.00	0.00	0.00	0.00	2.00	0.00
0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	6.40	7.40	0.00	0.00	0.00	16.80	0.00	2.00	0.00	5.60	0.00	0.00	0.00	0.00	0.00	0.00	8.00	6.00	4.80
20.40	0.00	0.00	15.60	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80	0.00	0.00	4.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.80	4.20	9.10
18.40	12.20	12.00	12.00	4.20	10.00	1.20	21.20	22.20	15.60	10.20	43.40	4.80	2.00	0.00	3.20	8.20	2.80	0.00	0.00	4.20	8.20	0.00	0.00	6.70	1.40	0.30	9.10	6.70
0.00	0.00	0.00	0.40	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.40	5.50	0.00	0.00	18.20	0.00	0.00	0.00	0.00	0.00	0.00	0.80	1.30	1.20
